SR              obs    bkg    bkg_err  S95_obs  S95_exp  
MONOJ230_260    73114  69900  2200     6740     4307     
MONOJ260_290    38321  36800  1100     3293     2160     
MONOJ290_320    21417  20780  630      1745     1237     
MONOJ320_350    12525  12340  400      911      800      
MONOJ350_390    9515   9160   320      923      640      
MONOJ390_430    5174   5100   200      461      405      
MONOJ430_470    2947   3000   120      210      248      
MONOJ470_510    1777   1763   79       181      171      
MONOJ510_550    1021   1032   48       102      109      
MONOJ550_590    694    683    37       94       87       
MONOJ590_640    554    554    28       71       71       
MONOJ640_690    339    322    19       64       52       
MONOJ690_740    196    178    13       52       39       
MONOJ740_790    123    122    8        28       28       
MONOJ790_840    80     74.5   6.6      26.4     22.5     
MONOJ840_900    68     77.8   7.2      16.1     22.0     
MONOJ900_960    37     38.4   4.8      14.9     15.7     
MONOJ960_1020   23     25.1   3.4      10.9     12.4     
MONOJ1020_1090  12     21.1   3        6.0      11.2     
MONOJ1090_1160  7      9.4    1.9      6.4      7.9      
MONOJ1160       26     22.6   3        14.7     12.1     
MONOV250_300    3395   3220   130      403      276      
MONOV300_350    2162   2050   88       274      190      
MONOV350_400    1093   1048   51       150      121      
MONOV400_500    780    775    40       96       94       
MONOV500_600    207    193    14       51       39       
MONOV600_750    90     84.2   6.9      28.0     23.1     
MONOV750        27     24.8   3.1      14.1     12.6     
