analysis      sr              signal_normevents  signal_err_tot  
cms1703_test  MONOJ1020_1090  5.66976            2.83544545545   
cms1703_test  MONOJ1090_1160  1.41744            1.41751000297   
cms1703_test  MONOJ1160       14.1744            4.48457671478   
cms1703_test  MONOJ200_230    86.4638            11.1042462149   
cms1703_test  MONOJ230_260    68.0371            9.84381986516   
cms1703_test  MONOJ260_290    58.115             9.09463487684   
cms1703_test  MONOJ290_320    62.3673            9.42288313269   
cms1703_test  MONOJ320_350    59.5325            9.20533576352   
cms1703_test  MONOJ350_390    72.2894            10.148270133    
cms1703_test  MONOJ390_430    100.638            11.9858404338   
cms1703_test  MONOJ430_470    68.0371            9.84381986516   
cms1703_test  MONOJ470_510    80.7941            10.7319140575   
cms1703_test  MONOJ510_550    59.5325            9.20533576352   
cms1703_test  MONOJ550_590    53.8627            8.75425900017   
cms1703_test  MONOJ590_640    60.9499            9.31474017872   
cms1703_test  MONOJ640_690    26.9314            6.18436044344   
cms1703_test  MONOJ690_740    17.0093            4.91311081676   
cms1703_test  MONOJ740_790    14.1744            4.48457671478   
cms1703_test  MONOJ790_840    12.757             4.25423753818   
cms1703_test  MONOJ840_900    9.92208            3.75151247686   
cms1703_test  MONOJ900_960    2.83488            2.00476103886   
cms1703_test  MONOJ960_1020   8.50464            3.4730457194    
cms1703_test  MONOV250_300    21.2616            5.49383006415   
cms1703_test  MONOV300_350    17.0093            4.91311081676   
cms1703_test  MONOV350_400    18.4267            5.11397227264   
cms1703_test  MONOV400_500    86.4638            11.1042462149   
cms1703_test  MONOV500_600    90.7161            11.3757000808   
cms1703_test  MONOV600_750    86.4638            11.1042462149   
cms1703_test  MONOV750        53.8627            8.75425900017   
