analysis      sr              signal_normevents  signal_err_tot  
cms1703_test  MONOJ1020_1090  5.66975691179      2.83544391104   
cms1703_test  MONOJ1090_1160  1.41744085225      1.41751085526   
cms1703_test  MONOJ1160       14.1744085225      4.48457941116   
cms1703_test  MONOJ200_230    86.4640089365      11.1042730479   
cms1703_test  MONOJ230_260    68.0373168404      9.84385123832   
cms1703_test  MONOJ260_290    58.1149969757      9.09463440356   
cms1703_test  MONOJ290_320    62.3673455213      9.42289001035   
cms1703_test  MONOJ320_350    59.5324248336      9.20532414076   
cms1703_test  MONOJ350_390    72.2897303579      10.14831651     
cms1703_test  MONOJ390_430    100.638287515      11.9858746764   
cms1703_test  MONOJ430_470    68.0373168404      9.84385123832   
cms1703_test  MONOJ470_510    80.7939076734      10.7318885106   
cms1703_test  MONOJ510_550    59.5324248336      9.20532414076   
cms1703_test  MONOJ550_590    53.8627134022      8.75426117841   
cms1703_test  MONOJ590_640    60.9499176634      9.31474287815   
cms1703_test  MONOJ640_690    26.9313242151      6.18434304067   
cms1703_test  MONOJ690_740    17.0092642382      4.91310048701   
cms1703_test  MONOJ740_790    14.1744085225      4.48457941116   
cms1703_test  MONOJ790_840    12.7569806646      4.25423109016   
cms1703_test  MONOJ840_900    9.92205997694      3.7515049062    
cms1703_test  MONOJ900_960    2.83488170449      2.00476224424   
cms1703_test  MONOJ960_1020   8.50463211909      3.47304250107   
cms1703_test  MONOV250_300    21.2616127837      5.49383336735   
cms1703_test  MONOV300_350    17.0092642382      4.91310048701   
cms1703_test  MONOV350_400    18.426692096       5.11397007905   
cms1703_test  MONOV400_500    86.4640089365      11.1042730479   
cms1703_test  MONOV500_600    90.7164224539      11.3757405161   
cms1703_test  MONOV600_750    86.4640089365      11.1042730479   
cms1703_test  MONOV750        53.8627134022      8.75426117841   
