analysis      sr              o        b        db      s              ds             s95obs  s95exp  robscons          rexpcons         
cms1703_test  MONOJ1020_1090  12.0     21.1     3.0     5.66975691179  2.83544391104  6.1     10.7    0.167152278309    0.0952924203443  
cms1703_test  MONOJ1090_1160  7.0      9.4      1.9     1.41744085225  1.41751085526  6.4     7.9     0                 0                
cms1703_test  MONOJ1160       26.0     22.6     3.0     14.1744085225  4.48457941116  14.9    12.2    0.457697871688    0.558991662963   
cms1703_test  MONOJ200_230    14064.2  13210.0  400.0   86.4640089365  11.1042730479  1514.0  894.0   0.0450812424953   0.0763456388567  
cms1703_test  MONOJ230_260    73114.0  69900.0  2200.0  68.0373168404  9.84385123832  6746.0  4357.0  0.00769246973163  0.0119103513449  
cms1703_test  MONOJ260_290    38321.0  36800.0  1100.0  58.1149969757  9.09463440356  3330.0  2181.0  0.012972911878    0.0198073345043  
cms1703_test  MONOJ290_320    21417.0  20780.0  630.0   62.3673455213  9.42289001035  1736.0  1236.0  0.0270240817421   0.0379561536442  
cms1703_test  MONOJ320_350    12525.0  12340.0  400.0   59.5324248336  9.20532414076  932.0   794.0   0.0476777824493   0.0559643491722  
cms1703_test  MONOJ350_390    9515.0   9160.0   320.0   72.2897303579  10.14831651    917.0   641.0   0.0606831965993   0.0868119988791  
cms1703_test  MONOJ390_430    5174.0   5100.0   200.0   100.638287515  11.9858746764  460.0   404.0   0.176046637056    0.200449141202   
cms1703_test  MONOJ430_470    2947.0   3000.0   120.0   68.0373168404  9.84385123832  217.0   243.0   0.239140095897    0.213553089751   
cms1703_test  MONOJ470_510    1777.0   1763.0   79.0    80.7939076734  10.7318885106  181.0   169.0   0.349135969701    0.373926689443   
cms1703_test  MONOJ510_550    1021.0   1032.0   48.0    59.5324248336  9.20532414076  105.0   110.0   0.423197078502    0.403960847661   
cms1703_test  MONOJ550_590    694.0    683.0    37.0    53.8627134022  8.75426117841  94.0    88.0    0.420273670953    0.448928693972   
cms1703_test  MONOJ590_640    554.0    554.0    28.0    60.9499176634  9.31474287815  72.0    72.0    0.634357490878    0.634357490878   
cms1703_test  MONOJ640_690    339.0    322.0    19.0    26.9313242151  6.18434304067  65.0    52.0    0.258292332745    0.322865415931   
cms1703_test  MONOJ690_740    196.0    178.0    13.0    17.0092642382  4.91310048701  52.0    38.0    0.172149604605    0.235573143144   
cms1703_test  MONOJ740_790    123.0    122.0    8.0     14.1744085225  4.48457941116  28.0    28.0    0.243560653148    0.243560653148   
cms1703_test  MONOJ790_840    80.0     74.5     6.6     12.7569806646  4.25423109016  26.5    22.2    0.218114780254    0.26036223769    
cms1703_test  MONOJ840_900    68.0     77.8     7.2     9.92205997694  3.7515049062   16.3    22.8    0.231263308637    0.16533297942    
cms1703_test  MONOJ900_960    37.0     38.4     4.8     2.83488170449  2.00476224424  14.7    15.6    0                 0                
cms1703_test  MONOJ960_1020   23.0     25.1     3.4     8.50463211909  3.47304250107  11.5    12.4    0.244247166725    0.226519549785   
cms1703_test  MONOV250_300    3395.0   3220.0   130.0   21.2616127837  5.49383336735  402.0   274.0   0.0304769305006   0.0447143286906  
cms1703_test  MONOV300_350    2162.0   2050.0   88.0    17.0092642382  4.91310048701  273.0   192.0   0.0327904008772   0.0466238512473  
cms1703_test  MONOV350_400    1093.0   1048.0   51.0    18.426692096   5.11397007905  153.0   119.0   0.0656194847476   0.0843679089612  
cms1703_test  MONOV400_500    780.0    775.0    40.0    86.4640089365  11.1042730479  95.0    94.0    0.718452643557    0.726095756786   
cms1703_test  MONOV500_600    207.0    193.0    14.0    90.7164224539  11.3757405161  51.0    39.0    1.41294525505     1.84769764122    
cms1703_test  MONOV600_750    90.0     84.2     6.9     86.4640089365  11.1042730479  27.3    23.0    2.50010993179     2.9675217886     
cms1703_test  MONOV750        27.0     24.8     3.1     53.8627134022  8.75426117841  14.2    12.5    2.78209331476     3.16045800557    
