# Search for dark matter produced with an energetic
# jet or ahadronically decaying W or Z boson

Inputfile:
XSect:           193.8 fb
 Error:          1.938 fb
MCEvents:        49957
 SumOfWeights:   9698.23
 SumOfWeights2:  1882.73
 NormEvents:     2500.02

SR              Sum_W     Sum_W2    Acc          N_Norm    
MONOJ1020_1090  3.30024   0.64068   0.000340293  0.850738  
MONOJ1090_1160  1.94131   0.37687   0.000200172  0.500434  
MONOJ1160       5.43568   1.05524   0.000560482  1.40122   
MONOJ230_260    203.256   39.4583   0.020958     52.3955   
MONOJ260_290    171.418   33.2776   0.0176752    44.1884   
MONOJ290_320    132.009   25.6272   0.0136117    34.0295   
MONOJ320_350    108.908   21.1424   0.0112297    28.0744   
MONOJ350_390    117.061   22.7253   0.0120704    30.1762   
MONOJ390_430    90.077    17.4868   0.00928799   23.2202   
MONOJ430_470    64.2575   12.4744   0.0066257    16.5644   
MONOJ470_510    53.9686   10.477    0.00556479   13.9121   
MONOJ510_550    38.6322   7.49972   0.00398343   9.95864   
MONOJ550_590    33.3906   6.48217   0.00344296   8.60747   
MONOJ590_640    30.4786   5.91686   0.0031427    7.85682   
MONOJ640_690    24.2664   4.71088   0.00250215   6.25543   
MONOJ690_740    16.307    3.16571   0.00168145   4.20365   
MONOJ740_790    14.1716   2.75115   0.00146126   3.65317   
MONOJ790_840    11.6479   2.26122   0.00120103   3.00261   
MONOJ840_900    8.54179   1.65823   0.000880757  2.20191   
MONOJ900_960    5.24155   1.01755   0.000540465  1.35117   
MONOJ960_1020   4.65916   0.904489  0.000480413  1.20104   
MONOV250_300    1.74718   0.339183  0.000180155  0.450391  
MONOV300_350    1.16479   0.226122  0.000120103  0.300261  
MONOV350_400    1.35892   0.263809  0.000140121  0.350304  
MONOV400_500    1.74718   0.339183  0.000180155  0.450391  
MONOV500_600    0         0         0            0         
MONOV600_750    0.776526  0.150748  8.00689e-05  0.200174  
MONOV750        1.16479   0.226122  0.000120103  0.300261  
