analysis       sr              signal_normevents  signal_err_tot  
cms1703_01651  MONOJ1020_1090  0.850738           0.206509354544  
cms1703_01651  MONOJ1090_1160  0.500434           0.15833055658   
cms1703_01651  MONOJ1160       1.40122            0.265176618887  
cms1703_01651  MONOJ230_260    52.3955            1.70193142439   
cms1703_01651  MONOJ260_290    44.1884            1.551322788     
cms1703_01651  MONOJ290_320    34.0295            1.34861546988   
cms1703_01651  MONOJ320_350    28.0744            1.21809294778   
cms1703_01651  MONOJ350_390    30.1762            1.26538138854   
cms1703_01651  MONOJ390_430    23.2202            1.10269668356   
cms1703_01651  MONOJ430_470    16.5644            0.925407250902  
cms1703_01651  MONOJ470_510    13.9121            0.845910322863  
cms1703_01651  MONOJ510_550    9.95864            0.712938257523  
cms1703_01651  MONOJ550_590    8.60747            0.661933978902  
cms1703_01651  MONOJ590_640    7.85682            0.631946270466  
cms1703_01651  MONOJ640_690    6.25543            0.562989564493  
cms1703_01651  MONOJ690_740    4.20365            0.460579337725  
cms1703_01651  MONOJ740_790    3.65317            0.429128690262  
cms1703_01651  MONOJ790_840    3.00261            0.38879591761   
cms1703_01651  MONOJ840_900    2.20191            0.332679783714  
cms1703_01651  MONOJ900_960    1.35117            0.26038361237   
cms1703_01651  MONOJ960_1020   1.20104            0.24545507809   
cms1703_01651  MONOV250_300    0.450391           0.150198099172  
cms1703_01651  MONOV300_350    0.300261           0.122617639651  
cms1703_01651  MONOV350_400    0.350304           0.132448779212  
cms1703_01651  MONOV400_500    0.450391           0.150198099172  
cms1703_01651  MONOV500_600    0.0                0               
cms1703_01651  MONOV600_750    0.200174           0.100106963234  
cms1703_01651  MONOV750        0.300261           0.122617639651  
