analysis       sr              o        b        db      s               ds              s95obs  s95exp  robscons           rexpcons           
cms1703_01651  MONOJ1020_1090  12.0     21.1     3.0     0.850739362214  0.20650968521   6.0     11.2    0.0853439130783    0.0457199534348    
cms1703_01651  MONOJ1090_1160  7.0      9.4      1.9     0.500432947682  0.158330223641  6.4     7.9     0.0376205282673    0.0304773899887    
cms1703_01651  MONOJ1160       26.0     22.6     3.0     1.40121534688   0.265175738299  14.7    12.1    0.0657365398689    0.0798617467828    
cms1703_01651  MONOJ230_260    73114.0  69900.0  2200.0  52.3955469318   1.70193294885   6740.0  4307.0  0.00735969983615   0.0115171527503    
cms1703_01651  MONOJ260_290    38321.0  36800.0  1100.0  44.1883135747   1.55131975386   3293.0  2160.0  0.0126462645546    0.0192796986937    
cms1703_01651  MONOJ290_320    21417.0  20780.0  630.0   34.0294198199   1.34861229228   1745.0  1237.0  0.0182336364817    0.0257216618113    
cms1703_01651  MONOJ320_350    12525.0  12340.0  400.0   28.0744195755   1.21809379713   911.0   800.0   0.0286243092736    0.0325959321853    
cms1703_01651  MONOJ350_390    9515.0   9160.0   320.0   30.1761085497   1.26537755374   923.0   640.0   0.030445167239     0.0439076396274    
cms1703_01651  MONOJ390_430    5174.0   5100.0   200.0   23.2201444532   1.10269404572   461.0   405.0   0.046446260777     0.052868459798     
cms1703_01651  MONOJ430_470    2947.0   3000.0   120.0   16.5643663998   0.925405373755  210.0   248.0   0.0716509599376    0.0606721838181    
cms1703_01651  MONOJ470_510    1777.0   1763.0   79.0    13.9120828617   0.845909280788  181.0   171.0   0.0691977438742    0.0732443955627    
cms1703_01651  MONOJ510_550    1021.0   1032.0   48.0    9.95864942819   0.712938932487  102.0   109.0   0.0861708782247    0.0806369686139    
cms1703_01651  MONOJ550_590    694.0    683.0    37.0    8.60746422925   0.661933535118  94.0    87.0    0.0800201407623    0.0864585428926    
cms1703_01651  MONOJ590_640    554.0    554.0    28.0    7.85680578539   0.631945127144  71.0    71.0    0.0960621940404    0.0960621940404    
cms1703_01651  MONOJ640_690    339.0    322.0    19.0    6.25541829055   0.562988510641  64.0    52.0    0.0833143302047    0.102540714098     
cms1703_01651  MONOJ690_740    196.0    178.0    13.0    4.20363572941   0.460577774145  52.0    39.0    0.0663132342271    0.0884176456361    
cms1703_01651  MONOJ740_790    123.0    122.0    8.0     3.65317005598   0.429128696838  28.0    28.0    0.105335678327     0.105335678327     
cms1703_01651  MONOJ790_840    80.0     74.5     6.6     3.00260799734   0.388795658293  26.4    22.5    0.0895826938536    0.105110360788     
cms1703_01651  MONOJ840_900    68.0     77.8     7.2     2.20191167211   0.332680036348  16.1    22.0    0.102876795807     0.075287109659     
cms1703_01651  MONOJ900_960    37.0     38.4     4.8     1.3511723099    0.260384057509  14.9    15.7    0.062022983596     0.0588625767886    
cms1703_01651  MONOJ960_1020   23.0     25.1     3.4     1.20104319893   0.245455731852  10.9    12.4    0.0732564952933    0.0643948224755    
cms1703_01651  MONOV250_300    3395.0   3220.0   130.0   0.450389910695  0.150197735907  403.0   276.0   0.000506366312179  0.000739368202204  
cms1703_01651  MONOV300_350    2162.0   2050.0   88.0    0.300260799734  0.122617557869  274.0   190.0   0.000361927024924  0.000521936867522  
cms1703_01651  MONOV350_400    1093.0   1048.0   51.0    0.350303836721  0.132448717476  150.0   121.0   0.00088725293373   0.00109990033107   
cms1703_01651  MONOV400_500    780.0    775.0    40.0    0.450389910695  0.150197735907  96.0    94.0    0.00212568358134   0.00217091089158   
cms1703_01651  MONOV500_600    207.0    193.0    14.0    0.0             0.257781059018  51.0    39.0    0                  0                  
cms1703_01651  MONOV600_750    90.0     84.2     6.9     0.200173694635  0.100106810521  28.0    23.1    0.00128566162073   0.00155837772209   
cms1703_01651  MONOV750        27.0     24.8     3.1     0.300260799734  0.122617557869  14.1    12.6    0.00703319183185   0.00787047657374   
