analysis        sr      o       b       db      s              ds             s95obs  s95exp  robscons       rexpcons       
cms_sus_16_039  SR_A01  186.0   185.0   22.0    0.0            3.59014338239  49.1    47.5    0              0              
cms_sus_16_039  SR_A02  34.0    35.0    6.0     0.0            3.59014338239  16.4    17.1    0              0              
cms_sus_16_039  SR_A03  11.0    9.3     2.2     0.0            3.59014338239  10.1    8.8     0              0              
cms_sus_16_039  SR_A04  1.0     3.3     1.0     0.0            3.59014338239  3.4     5.1     0              0              
cms_sus_16_039  SR_A05  5.0     4.0     1.0     0.0            3.59014338239  6.9     5.9     0              0              
cms_sus_16_039  SR_A06  60.0    50.0    8.0     0.0            3.59014338239  29.7    22.9    0              0              
cms_sus_16_039  SR_A07  19.0    15.0    4.0     0.0            3.59014338239  15.1    12.5    0              0              
cms_sus_16_039  SR_A08  1.0     1.9     0.6     0.0            3.59014338239  3.7     4.2     0              0              
cms_sus_16_039  SR_A09  3.0     0.8     0.4     0.0            3.59014338239  6.3     4.1     0              0              
cms_sus_16_039  SR_A10  16.0    13.0    2.8     0.0            3.59014338239  12.9    10.4    0              0              
cms_sus_16_039  SR_A11  17.0    11.9    3.2     0.0            3.59014338239  15.0    11.2    0              0              
cms_sus_16_039  SR_A12  4.0     3.1     1.2     0.0            3.59014338239  6.7     5.8     0              0              
cms_sus_16_039  SR_A13  3.0     2.1     0.8     0.0            3.59014338239  5.6     5.0     0              0              
cms_sus_16_039  SR_A14  1.0     0.9     0.4     0.0            3.59014338239  3.6     3.3     0              0              
cms_sus_16_039  SR_A15  2278.0  2180.0  260.0   0.0            3.59014338239  548.8   488.9   0              0              
cms_sus_16_039  SR_A16  429.0   440.0   70.0    0.0            3.59014338239  115.5   121.0   0              0              
cms_sus_16_039  SR_A17  123.0   129.0   28.0    0.0            3.59014338239  45.9    48.7    0              0              
cms_sus_16_039  SR_A18  37.0    48.0    10.0    1363.12        1369.9189286   14.5    20.2    0              0              
cms_sus_16_039  SR_A19  38.0    42.0    9.0     0.0            3.59014338239  17.1    20.0    0              0              
cms_sus_16_039  SR_A20  5.0     8.5     2.1     0.0            3.59014338239  5.5     7.4     0              0              
cms_sus_16_039  SR_A21  2.0     2.6     0.8     0.0            3.59014338239  4.5     5.0     0              0              
cms_sus_16_039  SR_A22  391.0   390.0   50.0    0.0            3.59014338239  96.9    94.3    0              0              
cms_sus_16_039  SR_A23  61.0    72.0    19.0    0.0            3.59014338239  26.2    30.9    0              0              
cms_sus_16_039  SR_A24  9.0     10.0    4.0     0.0            3.59014338239  8.8     9.5     0              0              
cms_sus_16_039  SR_A25  8.0     4.9     1.9     0.0            3.59014338239  10.1    7.4     0              0              
cms_sus_16_039  SR_A26  35.0    37.0    9.0     0.0            3.59014338239  18.8    19.4    0              0              
cms_sus_16_039  SR_A27  17.0    21.0    8.0     0.0            3.59014338239  12.6    14.4    0              0              
cms_sus_16_039  SR_A28  7.0     8.9     3.1     0.0            3.59014338239  7.1     8.1     0              0              
cms_sus_16_039  SR_A29  5.0     3.6     1.3     0.0            3.59014338239  7.3     6.0     0              0              
cms_sus_16_039  SR_A30  3.0     4.1     1.6     0.0            3.59014338239  5.0     5.6     0              0              
cms_sus_16_039  SR_A31  1.0     1.0     0.5     0.0            3.59014338239  3.4     3.4     0              0              
cms_sus_16_039  SR_A32  123.0   121.0   14.0    0.0            3.59014338239  35.6    34.4    0              0              
cms_sus_16_039  SR_A33  32.0    32.0    5.0     0.0            3.59014338239  15.4    15.3    0              0              
cms_sus_16_039  SR_A34  4.0     11.6    2.6     0.0            3.59014338239  4.4     8.4     0              0              
cms_sus_16_039  SR_A35  6.0     2.9     0.8     0.0            3.59014338239  8.6     5.6     0              0              
cms_sus_16_039  SR_A36  5.0     3.7     1.0     0.0            3.59014338239  7.1     6.0     0              0              
cms_sus_16_039  SR_A37  17.0    32.0    5.0     0.0            3.59014338239  7.6     13.5    0              0              
cms_sus_16_039  SR_A38  9.0     9.6     2.4     0.0            3.59014338239  7.9     8.7     0              0              
cms_sus_16_039  SR_A39  0.001   2.4     0.7     0.0            3.59014338239  3.0     4.5     0              0              
cms_sus_16_039  SR_A40  2.0     1.0     0.4     0.0            3.59014338239  4.8     3.9     0              0              
cms_sus_16_039  SR_A41  9.0     9.4     2.4     0.0            3.59014338239  8.2     8.2     0              0              
cms_sus_16_039  SR_A42  3.0     6.6     2.1     0.0            3.59014338239  4.4     6.7     0              0              
cms_sus_16_039  SR_A43  0.001   3.1     1.0     0.0            3.59014338239  2.9     4.9     0              0              
cms_sus_16_039  SR_A44  0.001   2.5     0.8     0.0            3.59014338239  3.0     4.6     0              0              
cms_sus_16_039  SR_B01  47.0    52.0    11.0    0.0            3.59014338239  19.8    23.4    0              0              
cms_sus_16_039  SR_B02  19.0    23.0    6.0     0.0            3.59014338239  11.2    14.1    0              0              
cms_sus_16_039  SR_B03  20.0    31.0    7.0     0.0            3.59014338239  9.2     14.5    0              0              
cms_sus_16_039  SR_B04  2.0     4.6     1.6     0.0            3.59014338239  4.0     5.6     0              0              
cms_sus_16_039  SR_B05  3.0     1.8     0.8     0.0            3.59014338239  5.8     4.8     0              0              
cms_sus_16_039  SR_B06  6.0     4.1     1.0     0.0            3.59014338239  8.0     5.8     0              0              
cms_sus_16_039  SR_C01  420.0   440.0   130.0   1363.12        1369.9189286   180.2   188.9   0              0              
cms_sus_16_039  SR_C02  22.0    30.0    8.0     0.0            3.59014338239  11.5    15.5    0              0              
cms_sus_16_039  SR_C03  2.0     8.5     2.6     0.0            3.59014338239  3.9     6.8     0              0              
cms_sus_16_039  SR_C04  2.0     1.9     0.8     0.0            3.59014338239  4.5     4.6     0              0              
cms_sus_16_039  SR_C05  1.0     1.1     0.6     0.0            3.59014338239  3.6     3.6     0              0              
cms_sus_16_039  SR_C06  3427.0  3700.0  1100.0  68156.0        11804.9671258  1385.4  1506.0  35.2214912038  32.4009654142  
