analysis      sr              signal_normevents  signal_err_tot  
cms1703_test  MONOJ1020_1090  0.0                0               
cms1703_test  MONOJ1090_1160  0.0                0               
cms1703_test  MONOJ1160       0.0                0               
cms1703_test  MONOJ200_230    3053.43            558.311092326   
cms1703_test  MONOJ230_260    2646.31            519.656683056   
cms1703_test  MONOJ260_290    916.029            305.479812895   
cms1703_test  MONOJ290_320    814.248            287.99530926    
cms1703_test  MONOJ320_350    305.343            176.315673349   
cms1703_test  MONOJ350_390    0.0                0               
cms1703_test  MONOJ390_430    101.781            101.78606827    
cms1703_test  MONOJ430_470    0.0                0               
cms1703_test  MONOJ470_510    0.0                0               
cms1703_test  MONOJ510_550    0.0                0               
cms1703_test  MONOJ550_590    0.0                0               
cms1703_test  MONOJ590_640    0.0                0               
cms1703_test  MONOJ640_690    0.0                0               
cms1703_test  MONOJ690_740    0.0                0               
cms1703_test  MONOJ740_790    0.0                0               
cms1703_test  MONOJ790_840    0.0                0               
cms1703_test  MONOJ840_900    0.0                0               
cms1703_test  MONOJ900_960    0.0                0               
cms1703_test  MONOJ960_1020   0.0                0               
cms1703_test  MONOV250_300    101.781            101.78606827    
cms1703_test  MONOV300_350    508.905            227.646078845   
cms1703_test  MONOV350_400    203.562            143.954434674   
cms1703_test  MONOV400_500    203.562            143.954434674   
cms1703_test  MONOV500_600    101.781            101.78606827    
cms1703_test  MONOV600_750    0.0                0               
cms1703_test  MONOV750        0.0                0               
