analysis       sr              signal_normevents  signal_err_tot  
cms1703_01651  MONOJ1020_1090  0.0                0               
cms1703_01651  MONOJ1090_1160  0.0                0               
cms1703_01651  MONOJ1160       0.0                0               
cms1703_01651  MONOJ510_550    0.0                0               
cms1703_01651  MONOJ550_590    0.0                0               
cms1703_01651  MONOJ590_640    0.0                0               
cms1703_01651  MONOJ640_690    0.0                0               
cms1703_01651  MONOJ690_740    0.0                0               
cms1703_01651  MONOJ740_790    0.0                0               
cms1703_01651  MONOJ790_840    0.0                0               
cms1703_01651  MONOJ840_900    0.0                0               
cms1703_01651  MONOJ900_960    0.0                0               
cms1703_01651  MONOJ960_1020   0.0                0               
cms1703_01651  MONOV250_300    0.0                0               
cms1703_01651  MONOV300_350    0.0                0               
cms1703_01651  MONOV350_400    0.0                0               
cms1703_01651  MONOV400_500    0.0                0               
cms1703_01651  MONOV500_600    0.0                0               
cms1703_01651  MONOV600_750    0.0                0               
cms1703_01651  MONOV750        0.0                0               
