analysis       sr              o       b       db     s    ds             s95obs  s95exp  robscons  rexpcons  
cms1703_01651  MONOJ1020_1090  12.0    21.1    3.0    0.0  127.951044127  6.0     11.3    0         0         
cms1703_01651  MONOJ1090_1160  7.0     9.4     1.9    0.0  127.951044127  6.1     8.0     0         0         
cms1703_01651  MONOJ1160       26.0    22.6    3.0    0.0  127.951044127  15.3    12.2    0         0         
cms1703_01651  MONOJ510_550    1021.0  1032.0  48.0   0.0  127.951044127  103.0   111.0   0         0         
cms1703_01651  MONOJ550_590    694.0   683.0   37.0   0.0  127.951044127  96.0    89.0    0         0         
cms1703_01651  MONOJ590_640    554.0   554.0   28.0   0.0  127.951044127  70.0    70.0    0         0         
cms1703_01651  MONOJ640_690    339.0   322.0   19.0   0.0  127.951044127  65.0    53.0    0         0         
cms1703_01651  MONOJ690_740    196.0   178.0   13.0   0.0  127.951044127  51.0    37.0    0         0         
cms1703_01651  MONOJ740_790    123.0   122.0   8.0    0.0  127.951044127  28.0    28.0    0         0         
cms1703_01651  MONOJ790_840    80.0    74.5    6.6    0.0  127.951044127  26.7    22.5    0         0         
cms1703_01651  MONOJ840_900    68.0    77.8    7.2    0.0  127.951044127  16.3    22.3    0         0         
cms1703_01651  MONOJ900_960    37.0    38.4    4.8    0.0  127.951044127  14.8    15.8    0         0         
cms1703_01651  MONOJ960_1020   23.0    25.1    3.4    0.0  127.951044127  11.1    12.7    0         0         
cms1703_01651  MONOV250_300    3395.0  3220.0  130.0  0.0  127.951044127  419.0   277.0   0         0         
cms1703_01651  MONOV300_350    2162.0  2050.0  88.0   0.0  127.951044127  274.0   192.0   0         0         
cms1703_01651  MONOV350_400    1093.0  1048.0  51.0   0.0  127.951044127  152.0   120.0   0         0         
cms1703_01651  MONOV400_500    780.0   775.0   40.0   0.0  127.951044127  96.0    92.0    0         0         
cms1703_01651  MONOV500_600    207.0   193.0   14.0   0.0  127.951044127  50.0    40.0    0         0         
cms1703_01651  MONOV600_750    90.0    84.2    6.9    0.0  127.951044127  28.1    23.4    0         0         
cms1703_01651  MONOV750        27.0    24.8    3.1    0.0  127.951044127  14.2    13.0    0         0         
