analysis      sr              signal_normevents  signal_err_tot  
cms1703_test  MONOJ1020_1090  0.0                0               
cms1703_test  MONOJ1090_1160  0.0                0               
cms1703_test  MONOJ1160       0.0                0               
cms1703_test  MONOJ200_230    7956.66            254.29592132    
cms1703_test  MONOJ230_260    4226.21            185.331955827   
cms1703_test  MONOJ260_290    1869.29            123.257708175   
cms1703_test  MONOJ290_320    1308.5             103.124442859   
cms1703_test  MONOJ320_350    512.022            64.5086303374   
cms1703_test  MONOJ350_390    560.786            67.5107758851   
cms1703_test  MONOJ390_430    398.239            56.8913231414   
cms1703_test  MONOJ430_470    251.947            45.2509963922   
cms1703_test  MONOJ470_510    154.419            35.4260844352   
cms1703_test  MONOJ510_550    121.91             31.4770295971   
cms1703_test  MONOJ550_590    56.8914            21.502926776    
cms1703_test  MONOJ590_640    48.764             19.9078109447   
cms1703_test  MONOJ640_690    40.6367            18.1732671458   
cms1703_test  MONOJ690_740    56.8914            21.502926776    
cms1703_test  MONOJ740_790    8.12734            8.12734507066   
cms1703_test  MONOJ790_840    8.12734            8.12734507066   
cms1703_test  MONOJ840_900    0.0                0               
cms1703_test  MONOJ900_960    0.0                0               
cms1703_test  MONOJ960_1020   8.12734            8.12734507066   
cms1703_test  MONOV250_300    1568.58            112.908610578   
cms1703_test  MONOV300_350    926.516            86.7761388534   
cms1703_test  MONOV350_400    568.914            67.998224972    
cms1703_test  MONOV400_500    308.839            50.1002112912   
cms1703_test  MONOV500_600    146.292            34.4814681501   
cms1703_test  MONOV600_750    89.4007            26.9553459787   
cms1703_test  MONOV750        56.8914            21.502926776    
