# Search for dark matter produced with an energetic
# jet or ahadronically decaying W or Z boson

Inputfile:
XSect:           62864 fb
 Error:          0 fb
MCEvents:        99780
 SumOfWeights:   6.27258e+06
 SumOfWeights2:  3.9432e+08
 NormEvents:     810946

SR              Sum_W    Sum_W2       Acc          N_Norm   
MONOJ1020_1090  0        0            0            0        
MONOJ1090_1160  125.728  7903.79      2.00441e-05  16.2547  
MONOJ1160       62.8641  3951.9       1.0022e-05   8.12734  
MONOJ230_260    34952.4  2.19725e+06  0.00557226   4518.8   
MONOJ260_290    13264.3  833850       0.00211465   1714.87  
MONOJ290_320    8172.33  513747       0.00130287   1056.55  
MONOJ320_350    5029.13  316152       0.000801764  650.187  
MONOJ350_390    4589.08  288488       0.00073161   593.296  
MONOJ390_430    2074.52  130413       0.000330728  268.202  
MONOJ430_470    1068.69  67182.2      0.000170375  138.165  
MONOJ470_510    1320.15  82989.8      0.000210463  170.674  
MONOJ510_550    754.369  47422.8      0.000120265  97.528   
MONOJ550_590    502.913  31615.2      8.01764e-05  65.0187  
MONOJ590_640    251.456  15807.6      4.00882e-05  32.5093  
MONOJ640_690    188.592  11855.7      3.00661e-05  24.382   
MONOJ690_740    125.728  7903.79      2.00441e-05  16.2547  
MONOJ740_790    188.592  11855.7      3.00661e-05  24.382   
MONOJ790_840    62.8641  3951.9       1.0022e-05   8.12734  
MONOJ840_900    0        0            0            0        
MONOJ900_960    62.8641  3951.9       1.0022e-05   8.12734  
MONOJ960_1020   62.8641  3951.9       1.0022e-05   8.12734  
MONOV250_300    12384.2  778524       0.00197434   1601.09  
MONOV300_350    7103.64  446564       0.00113249   918.389  
MONOV350_400    4086.17  256873       0.000651433  528.277  
MONOV400_500    3771.85  237114       0.000601323  487.64   
MONOV500_600    1320.15  82989.8      0.000210463  170.674  
MONOV600_750    565.777  35567.1      9.01984e-05  73.146   
MONOV750        251.456  15807.6      4.00882e-05  32.5093  
