analysis       sr              signal_normevents  signal_err_tot  
cms1703_01651  MONOJ1020_1090  0.0                0               
cms1703_01651  MONOJ1090_1160  16.2547            11.4938267797   
cms1703_01651  MONOJ1160       8.12734            8.12734507066   
cms1703_01651  MONOJ230_260    4518.8             191.639864361   
cms1703_01651  MONOJ260_290    1714.87            118.0567528     
cms1703_01651  MONOJ290_320    1056.55            92.6656568609   
cms1703_01651  MONOJ320_350    650.187            72.6931329489   
cms1703_01651  MONOJ350_390    593.296            69.4399929524   
cms1703_01651  MONOJ390_430    268.202            46.6879525359   
cms1703_01651  MONOJ430_470    138.165            33.5099211936   
cms1703_01651  MONOJ470_510    170.674            37.2440109689   
cms1703_01651  MONOJ510_550    97.528             28.1539335563   
cms1703_01651  MONOJ550_590    65.0187            22.9875870372   
cms1703_01651  MONOJ590_640    32.5093            16.2546859982   
cms1703_01651  MONOJ640_690    24.382             14.0769854387   
cms1703_01651  MONOJ690_740    16.2547            11.4938267797   
cms1703_01651  MONOJ740_790    24.382             14.0769854387   
cms1703_01651  MONOJ790_840    8.12734            8.12734507066   
cms1703_01651  MONOJ840_900    0.0                0               
cms1703_01651  MONOJ900_960    8.12734            8.12734507066   
cms1703_01651  MONOJ960_1020   8.12734            8.12734507066   
cms1703_01651  MONOV250_300    1601.09            114.073243606   
cms1703_01651  MONOV300_350    918.389            86.3947960831   
cms1703_01651  MONOV350_400    528.277            65.5246184691   
cms1703_01651  MONOV400_500    487.64             62.9540258133   
cms1703_01651  MONOV500_600    170.674            37.2440109689   
cms1703_01651  MONOV600_750    73.146             24.3820109025   
cms1703_01651  MONOV750        32.5093            16.2546859982   
