analysis       sr              signal_normevents  signal_err_tot  
cms1703_01651  MONOJ1020_1090  0.0                0.129284281747  
cms1703_01651  MONOJ1090_1160  16.2546541755      11.4937943768   
cms1703_01651  MONOJ1160       8.12734001617      8.12734508683   
cms1703_01651  MONOJ230_260    4518.79592933      191.639691726   
cms1703_01651  MONOJ260_290    1714.86549838      118.056442894   
cms1703_01651  MONOJ290_320    1056.55381425      92.665991393    
cms1703_01651  MONOJ320_350    650.187459862      72.693184363    
cms1703_01651  MONOJ350_390    593.295911679      69.4399826153   
cms1703_01651  MONOJ390_430    268.20282817       46.6880967016   
cms1703_01651  MONOJ430_470    138.16481906       33.5098773093   
cms1703_01651  MONOJ470_510    170.674644548      37.2441516204   
cms1703_01651  MONOJ510_550    97.5280543371      28.1539492421   
cms1703_01651  MONOJ550_590    65.0187459862      22.9876032958   
cms1703_01651  MONOJ590_640    32.5093083509      16.2546901737   
cms1703_01651  MONOJ640_690    24.3819812632      14.076974621    
cms1703_01651  MONOJ690_740    16.2546541755      11.4937943768   
cms1703_01651  MONOJ740_790    24.3819812632      14.076974621    
cms1703_01651  MONOJ790_840    8.12734001617      8.12734508683   
cms1703_01651  MONOJ840_900    0.0                0.129284281747  
cms1703_01651  MONOJ900_960    8.12734001617      8.12734508683   
cms1703_01651  MONOJ960_1020   8.12734001617      8.12734508683   
cms1703_01651  MONOV250_300    1601.08240201      114.07270227    
cms1703_01651  MONOV300_350    918.388995189      86.3947956304   
cms1703_01651  MONOV350_400    528.277553546      65.5246871279   
cms1703_01651  MONOV400_500    487.640918107      62.9541443403   
cms1703_01651  MONOV500_600    170.674644548      37.2441516204   
cms1703_01651  MONOV600_750    73.1460730739      24.3820352605   
cms1703_01651  MONOV750        32.5093083509      16.2546901737   
