analysis       sr              o        b        db      s              ds              s95obs  s95exp  robscons         rexpcons         
cms1703_01651  MONOJ1020_1090  12.0     21.1     3.0     0.0            0.129284281747  6.0     11.2    0                0                
cms1703_01651  MONOJ1090_1160  7.0      9.4      1.9     16.2546541755  11.4937943768   6.4     7.9     0                0                
cms1703_01651  MONOJ1160       26.0     22.6     3.0     8.12734001617  8.12734508683   14.7    12.1    0                0                
cms1703_01651  MONOJ230_260    73114.0  69900.0  2200.0  4518.79592933  191.639691726   6740.0  4307.0  0.62381407046    0.976203119317   
cms1703_01651  MONOJ260_290    38321.0  36800.0  1100.0  1714.86549838  118.056442894   3293.0  2160.0  0.461965664145   0.704283764828   
cms1703_01651  MONOJ290_320    21417.0  20780.0  630.0   1056.55381425  92.665991393    1745.0  1237.0  0.518384864392   0.731270483722   
cms1703_01651  MONOJ320_350    12525.0  12340.0  400.0   650.187459862  72.693184363    911.0   800.0   0.582843729425   0.663713296883   
cms1703_01651  MONOJ350_390    9515.0   9160.0   320.0   593.295911679  69.4399826153   923.0   640.0   0.519408819274   0.749084906547   
cms1703_01651  MONOJ390_430    5174.0   5100.0   200.0   268.20282817   46.6880967016   461.0   405.0   0.415692732275   0.473171233528   
cms1703_01651  MONOJ430_470    2947.0   3000.0   120.0   138.16481906   33.5098773093   210.0   248.0   0.396231525109   0.335518630133   
cms1703_01651  MONOJ470_510    1777.0   1763.0   79.0    170.674644548  37.2441516204   181.0   171.0   0.605493015971   0.640901964273   
cms1703_01651  MONOJ510_550    1021.0   1032.0   48.0    97.5280543371  28.1539492421   102.0   109.0   0.503486054707   0.471152087891   
cms1703_01651  MONOJ550_590    694.0    683.0    37.0    65.0187459862  22.9876032958   94.0    87.0    0.290628474267   0.314012374496   
cms1703_01651  MONOJ590_640    554.0    554.0    28.0    32.5093083509  16.2546901737   71.0    71.0    0.0824171333261  0.0824171333261  
cms1703_01651  MONOJ640_690    339.0    322.0    19.0    24.3819812632  14.076974621    64.0    52.0    0.0202459825738  0.0249181323985  
cms1703_01651  MONOJ690_740    196.0    178.0    13.0    16.2546541755  11.4937943768   52.0    39.0    0                0                
cms1703_01651  MONOJ740_790    123.0    122.0    8.0     24.3819812632  14.076974621    28.0    28.0    0.0462765315973  0.0462765315973  
cms1703_01651  MONOJ790_840    80.0     74.5     6.6     8.12734001617  8.12734508683   26.4    22.5    0                0                
cms1703_01651  MONOJ840_900    68.0     77.8     7.2     0.0            0.129284281747  16.1    22.0    0                0                
cms1703_01651  MONOJ900_960    37.0     38.4     4.8     8.12734001617  8.12734508683   14.9    15.7    0                0                
cms1703_01651  MONOJ960_1020   23.0     25.1     3.4     8.12734001617  8.12734508683   10.9    12.4    0                0                
cms1703_01651  MONOV250_300    3395.0   3220.0   130.0   1601.08240201  114.07270227    403.0   276.0   3.50869273024    5.12319989234    
cms1703_01651  MONOV300_350    2162.0   2050.0   88.0    918.388995189  86.3947956304   274.0   190.0   2.83467711808    4.08790279134    
cms1703_01651  MONOV350_400    1093.0   1048.0   51.0    528.277553546  65.5246871279   150.0   121.0   2.80544711104    3.47782699716    
cms1703_01651  MONOV400_500    780.0    775.0    40.0    487.640918107  62.9541443403   96.0    94.0    4.00412626447    4.08932044031    
cms1703_01651  MONOV500_600    207.0    193.0    14.0    170.674644548  37.2441516204   51.0    39.0    2.14890658609    2.81010861258    
cms1703_01651  MONOV600_750    90.0     84.2     6.9     73.1460730739  24.3820352605   28.0    23.1    1.18426911595    1.43547771631    
cms1703_01651  MONOV750        27.0     24.8     3.1     32.5093083509  16.2546901737   14.1    12.6    0.415008260011   0.464414005251   
