analysis      sr              signal_normevents  signal_err_tot  
cms1703_test  MONOJ1020_1090  0.0                0               
cms1703_test  MONOJ1090_1160  0.0                0               
cms1703_test  MONOJ1160       0.0                0               
cms1703_test  MONOJ200_230    6455.18            2283.16297667   
cms1703_test  MONOJ230_260    4034.49            1804.73069382   
cms1703_test  MONOJ260_290    4034.49            1804.73069382   
cms1703_test  MONOJ290_320    1613.8             1141.24431402   
cms1703_test  MONOJ320_350    1613.8             1141.24431402   
cms1703_test  MONOJ350_390    0.0                0               
cms1703_test  MONOJ390_430    0.0                0               
cms1703_test  MONOJ430_470    0.0                0               
cms1703_test  MONOJ470_510    0.0                0               
cms1703_test  MONOJ510_550    0.0                0               
cms1703_test  MONOJ550_590    0.0                0               
cms1703_test  MONOJ590_640    0.0                0               
cms1703_test  MONOJ640_690    0.0                0               
cms1703_test  MONOJ690_740    806.898            806.937471492   
cms1703_test  MONOJ740_790    0.0                0               
cms1703_test  MONOJ790_840    0.0                0               
cms1703_test  MONOJ840_900    0.0                0               
cms1703_test  MONOJ900_960    0.0                0               
cms1703_test  MONOJ960_1020   0.0                0               
cms1703_test  MONOV250_300    1613.8             1141.24431402   
cms1703_test  MONOV300_350    2420.69            1397.79517939   
cms1703_test  MONOV350_400    0.0                0               
cms1703_test  MONOV400_500    0.0                0               
cms1703_test  MONOV500_600    0.0                0               
cms1703_test  MONOV600_750    0.0                0               
cms1703_test  MONOV750        0.0                0               
