analysis      sr              signal_normevents  signal_err_tot  
cms1703_test  MONOJ1020_1090  0.0                12.757456414    
cms1703_test  MONOJ1090_1160  0.0                12.757456414    
cms1703_test  MONOJ1160       0.0                12.757456414    
cms1703_test  MONOJ200_230    6455.18364327      2283.16426527   
cms1703_test  MONOJ230_260    4034.48180364      1804.72702738   
cms1703_test  MONOJ260_290    4034.48180364      1804.72702738   
cms1703_test  MONOJ290_320    1613.79272145      1141.2391668    
cms1703_test  MONOJ320_350    1613.79272145      1141.2391668    
cms1703_test  MONOJ350_390    0.0                12.757456414    
cms1703_test  MONOJ390_430    0.0                12.757456414    
cms1703_test  MONOJ430_470    0.0                12.757456414    
cms1703_test  MONOJ470_510    0.0                12.757456414    
cms1703_test  MONOJ510_550    0.0                12.757456414    
cms1703_test  MONOJ550_590    0.0                12.757456414    
cms1703_test  MONOJ590_640    0.0                12.757456414    
cms1703_test  MONOJ640_690    0.0                12.757456414    
cms1703_test  MONOJ690_740    806.897636473      806.937107947   
cms1703_test  MONOJ740_790    0.0                12.757456414    
cms1703_test  MONOJ790_840    0.0                12.757456414    
cms1703_test  MONOJ840_900    0.0                12.757456414    
cms1703_test  MONOJ900_960    0.0                12.757456414    
cms1703_test  MONOJ960_1020   0.0                12.757456414    
cms1703_test  MONOV250_300    1613.79272145      1141.2391668    
cms1703_test  MONOV300_350    2420.68908218      1397.79464941   
cms1703_test  MONOV350_400    0.0                12.757456414    
cms1703_test  MONOV400_500    0.0                12.757456414    
cms1703_test  MONOV500_600    0.0                12.757456414    
cms1703_test  MONOV600_750    0.0                12.757456414    
cms1703_test  MONOV750        0.0                12.757456414    
