analysis      sr              o        b        db      s              ds             s95obs  s95exp  robscons        rexpcons        
cms1703_test  MONOJ1020_1090  12.0     21.1     3.0     0.0            12.757456414   6.1     10.7    0               0               
cms1703_test  MONOJ1090_1160  7.0      9.4      1.9     0.0            12.757456414   6.4     7.9     0               0               
cms1703_test  MONOJ1160       26.0     22.6     3.0     0.0            12.757456414   14.9    12.2    0               0               
cms1703_test  MONOJ200_230    14064.2  13210.0  400.0   6455.18364327  2283.16426527  1514.0  894.0   1.79048497241   3.03220833135   
cms1703_test  MONOJ230_260    73114.0  69900.0  2200.0  4034.48180364  1804.72702738  6746.0  4357.0  0.159313590088  0.24666731208   
cms1703_test  MONOJ260_290    38321.0  36800.0  1100.0  4034.48180364  1804.72702738  3330.0  2181.0  0.322741585205  0.492769132844  
cms1703_test  MONOJ290_320    21417.0  20780.0  630.0   1613.79272145  1141.2391668   1736.0  1236.0  0               0               
cms1703_test  MONOJ320_350    12525.0  12340.0  400.0   1613.79272145  1141.2391668   932.0   794.0   0               0               
cms1703_test  MONOJ350_390    9515.0   9160.0   320.0   0.0            12.757456414   917.0   641.0   0               0               
cms1703_test  MONOJ390_430    5174.0   5100.0   200.0   0.0            12.757456414   460.0   404.0   0               0               
cms1703_test  MONOJ430_470    2947.0   3000.0   120.0   0.0            12.757456414   217.0   243.0   0               0               
cms1703_test  MONOJ470_510    1777.0   1763.0   79.0    0.0            12.757456414   181.0   169.0   0               0               
cms1703_test  MONOJ510_550    1021.0   1032.0   48.0    0.0            12.757456414   105.0   110.0   0               0               
cms1703_test  MONOJ550_590    694.0    683.0    37.0    0.0            12.757456414   94.0    88.0    0               0               
cms1703_test  MONOJ590_640    554.0    554.0    28.0    0.0            12.757456414   72.0    72.0    0               0               
cms1703_test  MONOJ640_690    339.0    322.0    19.0    0.0            12.757456414   65.0    52.0    0               0               
cms1703_test  MONOJ690_740    196.0    178.0    13.0    806.897636473  806.937107947  52.0    38.0    0               0               
cms1703_test  MONOJ740_790    123.0    122.0    8.0     0.0            12.757456414   28.0    28.0    0               0               
cms1703_test  MONOJ790_840    80.0     74.5     6.6     0.0            12.757456414   26.5    22.2    0               0               
cms1703_test  MONOJ840_900    68.0     77.8     7.2     0.0            12.757456414   16.3    22.8    0               0               
cms1703_test  MONOJ900_960    37.0     38.4     4.8     0.0            12.757456414   14.7    15.6    0               0               
cms1703_test  MONOJ960_1020   23.0     25.1     3.4     0.0            12.757456414   11.5    12.4    0               0               
cms1703_test  MONOV250_300    3395.0   3220.0   130.0   1613.79272145  1141.2391668   402.0   274.0   0               0               
cms1703_test  MONOV300_350    2162.0   2050.0   88.0    2420.68908218  1397.79464941  273.0   192.0   0.469984824725  0.668259672656  
cms1703_test  MONOV350_400    1093.0   1048.0   51.0    0.0            12.757456414   153.0   119.0   0               0               
cms1703_test  MONOV400_500    780.0    775.0    40.0    0.0            12.757456414   95.0    94.0    0               0               
cms1703_test  MONOV500_600    207.0    193.0    14.0    0.0            12.757456414   51.0    39.0    0               0               
cms1703_test  MONOV600_750    90.0     84.2     6.9     0.0            12.757456414   27.3    23.0    0               0               
cms1703_test  MONOV750        27.0     24.8     3.1     0.0            12.757456414   14.2    12.5    0               0               
