# Search for dark matter produced with an energetic
# jet or ahadronically decaying W or Z boson

Inputfile:
XSect:           372600 fb
 Error:          3726 fb
MCEvents:        9983
 SumOfWeights:   3.71965e+06
 SumOfWeights2:  1.38594e+09
 NormEvents:     4.80654e+06

SR              Sum_W    Sum_W2       Acc          N_Norm   
MONOJ1020_1090  0        0            0            0        
MONOJ1090_1160  0        0            0            0        
MONOJ1160       0        0            0            0        
MONOJ230_260    24964.1  9.3016e+06   0.00671141   32258.7  
MONOJ260_290    16021.7  5.96968e+06  0.00430732   20703.3  
MONOJ290_320    7824.57  2.91543e+06  0.00210358   10110.9  
MONOJ320_350    4471.18  1.66596e+06  0.00120204   5777.67  
MONOJ350_390    4471.18  1.66596e+06  0.00120204   5777.67  
MONOJ390_430    3353.39  1.24947e+06  0.000901533  4333.25  
MONOJ430_470    1117.8   416489       0.000300511  1444.42  
MONOJ470_510    372.599  138830       0.00010017   481.473  
MONOJ510_550    0        0            0            0        
MONOJ550_590    0        0            0            0        
MONOJ590_640    0        0            0            0        
MONOJ640_690    0        0            0            0        
MONOJ690_740    0        0            0            0        
MONOJ740_790    372.599  138830       0.00010017   481.473  
MONOJ790_840    0        0            0            0        
MONOJ840_900    0        0            0            0        
MONOJ900_960    372.599  138830       0.00010017   481.473  
MONOJ960_1020   0        0            0            0        
MONOV250_300    745.197  277660       0.000200341  962.945  
MONOV300_350    372.599  138830       0.00010017   481.473  
MONOV350_400    745.197  277660       0.000200341  962.945  
MONOV400_500    745.197  277660       0.000200341  962.945  
MONOV500_600    0        0            0            0        
MONOV600_750    0        0            0            0        
MONOV750        0        0            0            0        
