analysis       sr              o        b        db      s              ds             s95obs  s95exp  robscons        rexpcons       
cms1703_01651  MONOJ1020_1090  12.0     21.1     3.0     0.0            1.29220222333  6.0     11.2    0               0              
cms1703_01651  MONOJ1090_1160  7.0      9.4      1.9     0.0            1.29220222333  6.4     7.9     0               0              
cms1703_01651  MONOJ1160       26.0     22.6     3.0     0.0            1.29220222333  14.7    12.1    0               0              
cms1703_01651  MONOJ230_260    73114.0  69900.0  2200.0  32258.6655234  3954.20650172  6740.0  4307.0  3.82400101789   5.98415761796  
cms1703_01651  MONOJ260_290    38321.0  36800.0  1100.0  20703.2763615  3164.00918958  3293.0  2160.0  4.71129708186   7.18254689378  
cms1703_01651  MONOJ290_320    21417.0  20780.0  630.0   10110.9267506  2208.70301089  1745.0  1237.0  3.71842625371   5.24547600058  
cms1703_01651  MONOJ320_350    12525.0  12340.0  400.0   5777.6687369   1668.87261538  911.0   800.0   3.33778007428   3.80089705959  
cms1703_01651  MONOJ350_390    9515.0   9160.0   320.0   5777.6687369   1668.87261538  923.0   640.0   3.29438531709   4.75112132449  
cms1703_01651  MONOJ390_430    5174.0   5100.0   200.0   4333.25801368  1445.06953399  461.0   405.0   4.25888064628   4.84776290848  
cms1703_01651  MONOJ430_470    2947.0   3000.0   120.0   1444.42364524  834.060178507  210.0   248.0   0.364595011825  0.30872964711  
cms1703_01651  MONOJ470_510    1777.0   1763.0   79.0    481.47325621   481.497303606  181.0   171.0   0               0              
cms1703_01651  MONOJ510_550    1021.0   1032.0   48.0    0.0            1.29220222333  102.0   109.0   0               0              
cms1703_01651  MONOJ550_590    694.0    683.0    37.0    0.0            1.29220222333  94.0    87.0    0               0              
cms1703_01651  MONOJ590_640    554.0    554.0    28.0    0.0            1.29220222333  71.0    71.0    0               0              
cms1703_01651  MONOJ640_690    339.0    322.0    19.0    0.0            1.29220222333  64.0    52.0    0               0              
cms1703_01651  MONOJ690_740    196.0    178.0    13.0    0.0            1.29220222333  52.0    39.0    0               0              
cms1703_01651  MONOJ740_790    123.0    122.0    8.0     481.47325621   481.497303606  28.0    28.0    0               0              
cms1703_01651  MONOJ790_840    80.0     74.5     6.6     0.0            1.29220222333  26.4    22.5    0               0              
cms1703_01651  MONOJ840_900    68.0     77.8     7.2     0.0            1.29220222333  16.1    22.0    0               0              
cms1703_01651  MONOJ900_960    37.0     38.4     4.8     481.47325621   481.497303606  14.9    15.7    0               0              
cms1703_01651  MONOJ960_1020   23.0     25.1     3.4     0.0            1.29220222333  10.9    12.4    0               0              
cms1703_01651  MONOV250_300    3395.0   3220.0   130.0   962.945220217  680.974059573  403.0   276.0   0               0              
cms1703_01651  MONOV300_350    2162.0   2050.0   88.0    481.47325621   481.497303606  274.0   190.0   0               0              
cms1703_01651  MONOV350_400    1093.0   1048.0   51.0    962.945220217  680.974059573  150.0   121.0   0               0              
cms1703_01651  MONOV400_500    780.0    775.0    40.0    962.945220217  680.974059573  96.0    94.0    0               0              
cms1703_01651  MONOV500_600    207.0    193.0    14.0    0.0            1.29220222333  51.0    39.0    0               0              
cms1703_01651  MONOV600_750    90.0     84.2     6.9     0.0            1.29220222333  28.0    23.1    0               0              
cms1703_01651  MONOV750        27.0     24.8     3.1     0.0            1.29220222333  14.1    12.6    0               0              
