analysis      sr              signal_normevents  signal_err_tot  
cms1703_test  MONOJ1020_1090  0.0                1.29005436099   
cms1703_test  MONOJ1090_1160  0.0                1.29005436099   
cms1703_test  MONOJ1160       0.0                1.29005436099   
cms1703_test  MONOJ200_230    22531.444442       3329.70612093   
cms1703_test  MONOJ230_260    9796.26            2192.70020118   
cms1703_test  MONOJ260_290    7837.01574033      1960.81918661   
cms1703_test  MONOJ290_320    2449.065           1095.52917225   
cms1703_test  MONOJ320_350    979.626            692.769598666   
cms1703_test  MONOJ350_390    979.626            692.769598666   
cms1703_test  MONOJ390_430    489.813            489.837592208   
cms1703_test  MONOJ430_470    0.0                1.29005436099   
cms1703_test  MONOJ470_510    0.0                1.29005436099   
cms1703_test  MONOJ510_550    0.0                1.29005436099   
cms1703_test  MONOJ550_590    489.813            489.837592208   
cms1703_test  MONOJ590_640    489.813            489.837592208   
cms1703_test  MONOJ640_690    0.0                1.29005436099   
cms1703_test  MONOJ690_740    0.0                1.29005436099   
cms1703_test  MONOJ740_790    0.0                1.29005436099   
cms1703_test  MONOJ790_840    0.0                1.29005436099   
cms1703_test  MONOJ840_900    0.0                1.29005436099   
cms1703_test  MONOJ900_960    0.0                1.29005436099   
cms1703_test  MONOJ960_1020   0.0                1.29005436099   
cms1703_test  MONOV250_300    0.0                1.29005436099   
cms1703_test  MONOV300_350    0.0                1.29005436099   
cms1703_test  MONOV350_400    0.0                1.29005436099   
cms1703_test  MONOV400_500    0.0                1.29005436099   
cms1703_test  MONOV500_600    0.0                1.29005436099   
cms1703_test  MONOV600_750    0.0                1.29005436099   
cms1703_test  MONOV750        0.0                1.29005436099   
